Source,Page,Position,Item No.,Item Name,Unit Price,Set Up Dimension,Weight Stack,N.W.,G.W.,Volume,Photo File,Image,Image Source,Source URL,Catalog Page
Price_List,31,12,RSB-280,Spinning Bike (no hand-pulse),US$425,1050*620*970mm,/,90kg,93kg,1.3,photos/Price_List_RSB-280_p31.png,images/RSB-280 - Spinning Bike (no hand-pulse)/01 - Spinning Bike (no hand-pulse).png,Fallback from supplied price-list PDF (no matching image in 2025 web catalog),,
Price_List,31,13,RSB-300,Realleader Spinning (Magnet Resistance)(no hand pulse),US$420,,/,,,,photos/Price_List_RSB-300_p31.png,images/RSB-300 - Realleader Spinning (Magnet Resistance)(no hand pulse)/01 - Realleader Spinning (Magnet Resistance)(no hand pulse).png,Fallback from supplied price-list PDF (no matching image in 2025 web catalog),,
NEW_GL_Price_List_0611,1,1,GL-1001,Buttocks Bridge,"US$1,247",,,,,,photos/NEW_GL_Price_List_0611_GL-1001_p1.png,images/GL-1001 - Buttocks Bridge/01 - Buttocks Bridge.png,Fallback from supplied price-list PDF (no matching image in 2025 web catalog),,
NEW_GL_Price_List_0611,1,2,GL-1002,Standing Glute Machine,"US$1,259",,,,,,photos/NEW_GL_Price_List_0611_GL-1002_p1.png,images/GL-1002 - Standing Glute Machine/01 - Standing Glute Machine.png,Fallback from supplied price-list PDF (no matching image in 2025 web catalog),,
NEW_GL_Price_List_0611,1,3,GL-1003,Back Extension,"US$1,239",,,,,,photos/NEW_GL_Price_List_0611_GL-1003_p1.png,images/GL-1003 - Back Extension/01 - Back Extension.png,Fallback from supplied price-list PDF (no matching image in 2025 web catalog),,
NEW_GL_Price_List_0611,1,4,GL-1004,Standing Hip Thrust,"US$1,247",,,,,,photos/NEW_GL_Price_List_0611_GL-1004_p1.png,images/GL-1004 - Standing Hip Thrust/01 - Standing Hip Thrust.png,Fallback from supplied price-list PDF (no matching image in 2025 web catalog),,
NEW_GL_Price_List_0611,1,5,GL-1005,Standing Abductor,"US$1,244",,,,,,photos/NEW_GL_Price_List_0611_GL-1005_p1.png,images/GL-1005 - Standing Abductor/01 - Standing Abductor.png,Fallback from supplied price-list PDF (no matching image in 2025 web catalog),,
NEW_GL_Price_List_0611,1,6,GL-1006,Standing Adductor,"US$1,244",,,,,,photos/NEW_GL_Price_List_0611_GL-1006_p1.png,images/GL-1006 - Standing Adductor/01 - Standing Adductor.png,Fallback from supplied price-list PDF (no matching image in 2025 web catalog),,
NEW_GL_Price_List_0611,1,7,GL-1007,Prone Glute Machine,"US$1,293",,,,,,photos/NEW_GL_Price_List_0611_GL-1007_p1.png,images/GL-1007 - Prone Glute Machine/01 - Prone Glute Machine.png,Fallback from supplied price-list PDF (no matching image in 2025 web catalog),,
NEW_GL_Price_List_0611,1,9,GL-1009,Multi Hip,"US$1,239",,,,,,photos/NEW_GL_Price_List_0611_GL-1009_p1.png,images/GL-1009 - Multi Hip/01 - Multi Hip.png,Fallback from supplied price-list PDF (no matching image in 2025 web catalog),,
